x,y,x1,y1,count
116.221623361,36.8763315724,116.221623361,36.8763315724,34
116.213722481,36.8310420156,116.202087219,36.8611678928,195
116.201194604,36.8989778131,116.213722481,36.8310420156,43
116.201194604,36.8989778131,116.201194604,36.8989778131,106
116.213722481,36.8310420156,116.219246486,36.8479156987,63
116.213722481,36.8310420156,116.236958618,36.8309426637,24
116.219246486,36.8479156987,116.213722481,36.8310420156,103
116.219246486,36.8479156987,116.219246486,36.8479156987,131
116.219246486,36.8479156987,116.240171758,36.8453170075,80
116.219246486,36.8479156987,116.187967895,36.8423657703,95
116.219246486,36.8479156987,116.202087219,36.8611678928,193
116.219246486,36.8479156987,116.221623361,36.8763315724,44
116.219246486,36.8479156987,116.236958618,36.8309426637,35
116.219246486,36.8479156987,116.240166047,36.8936720213,6
116.219246486,36.8479156987,116.25118064,36.8490588312,35
116.219246486,36.8479156987,116.216684036,36.8596228912,63
116.221623361,36.8763315724,116.202087219,36.8611678928,98
116.221623361,36.8763315724,116.240331802,36.8552303408,3
116.216684036,36.8596228912,116.202087219,36.8611678928,91
116.216684036,36.8596228912,116.216684036,36.8596228912,45
116.213722481,36.8310420156,116.187967895,36.8423657703,54
116.213722481,36.8310420156,116.213722481,36.8310420156,99
116.213722481,36.8310420156,116.216684036,36.8596228912,54
116.213722481,36.8310420156,116.225662419,36.8588641676,32
116.213722481,36.8310420156,116.241170765,36.8614900113,7
116.213722481,36.8310420156,116.252370299,36.8585624924,2
116.216684036,36.8596228912,116.201194604,36.8989778131,22
116.216684036,36.8596228912,116.187967895,36.8423657703,40
116.216684036,36.8596228912,116.213722481,36.8310420156,48
116.216684036,36.8596228912,116.225662419,36.8588641676,25
116.216684036,36.8596228912,116.232563779,36.8587094993,10
116.216684036,36.8596228912,116.236958618,36.8309426637,20
116.216684036,36.8596228912,116.241170765,36.8614900113,7
116.216684036,36.8596228912,116.252370299,36.8585624924,3
116.216684036,36.8596228912,116.244956804,36.8661827255,22
116.216684036,36.8596228912,116.25118064,36.8490588312,14
116.216684036,36.8596228912,116.247348824,36.8719363175,20
116.221733955,36.8685314253,116.202087219,36.8611678928,149
116.221733955,36.8685314253,116.187967895,36.8423657703,35
116.221733955,36.8685314253,116.213722481,36.8310420156,65
116.221733955,36.8685314253,116.216684036,36.8596228912,40
116.221733955,36.8685314253,116.221733955,36.8685314253,74
116.221733955,36.8685314253,116.244956804,36.8661827255,54
116.221733955,36.8685314253,116.236958618,36.8309426637,32
116.221733955,36.8685314253,116.25118064,36.8490588312,15
116.221733955,36.8685314253,116.201194604,36.8989778131,29
116.221733955,36.8685314253,116.219246486,36.8479156987,37
116.221733955,36.8685314253,116.225662419,36.8588641676,42
116.221733955,36.8685314253,116.240171758,36.8453170075,25
116.221733955,36.8685314253,116.247348824,36.8719363175,47
116.221623361,36.8763315724,116.201194604,36.8989778131,26
116.221623361,36.8763315724,116.213722481,36.8310420156,48
116.221623361,36.8763315724,116.216684036,36.8596228912,27
116.221623361,36.8763315724,116.225662419,36.8588641676,26
116.221623361,36.8763315724,116.247348824,36.8719363175,30
116.221623361,36.8763315724,116.25118064,36.8490588312,18
116.221623361,36.8763315724,116.221733955,36.8685314253,32
116.221623361,36.8763315724,116.240166047,36.8936720213,5
116.240166047,36.8936720213,116.216684036,36.8596228912,2
116.213722481,36.8310420156,116.221623361,36.8763315724,36
116.213722481,36.8310420156,116.221733955,36.8685314253,38
116.213722481,36.8310420156,116.240171758,36.8453170075,48
116.213722481,36.8310420156,116.240166047,36.8936720213,6
116.213722481,36.8310420156,116.25118064,36.8490588312,30
116.219246486,36.8479156987,116.221733955,36.8685314253,34
116.219246486,36.8479156987,116.201194604,36.8989778131,35
116.219246486,36.8479156987,116.244956804,36.8661827255,37
116.216684036,36.8596228912,116.221623361,36.8763315724,17
116.216684036,36.8596228912,116.240331802,36.8552303408,4
116.213722481,36.8310420156,116.232563779,36.8587094993,17
116.213722481,36.8310420156,116.240331802,36.8552303408,8
116.221623361,36.8763315724,116.219246486,36.8479156987,17
116.221623361,36.8763315724,116.240171758,36.8453170075,21
116.221623361,36.8763315724,116.187967895,36.8423657703,12
116.221623361,36.8763315724,116.236958618,36.8309426637,12
116.219246486,36.8479156987,116.225662419,36.8588641676,34
116.219246486,36.8479156987,116.241170765,36.8614900113,12
116.219246486,36.8479156987,116.247348824,36.8719363175,28
116.216684036,36.8596228912,116.219246486,36.8479156987,31
116.216684036,36.8596228912,116.240171758,36.8453170075,23
116.221623361,36.8763315724,116.241170765,36.8614900113,12
