x,y,x1,y1,count
116.221623361,36.8763315724,116.221623361,36.8763315724,68
116.213722481,36.8310420156,116.202087219,36.8611678928,318
116.201194604,36.8989778131,116.213722481,36.8310420156,76
116.201194604,36.8989778131,116.201194604,36.8989778131,212
116.213722481,36.8310420156,116.219246486,36.8479156987,166
116.213722481,36.8310420156,116.236958618,36.8309426637,92
116.219246486,36.8479156987,116.213722481,36.8310420156,166
116.219246486,36.8479156987,116.219246486,36.8479156987,262
116.219246486,36.8479156987,116.240171758,36.8453170075,137
116.219246486,36.8479156987,116.187967895,36.8423657703,127
116.219246486,36.8479156987,116.202087219,36.8611678928,270
116.219246486,36.8479156987,116.221623361,36.8763315724,61
116.219246486,36.8479156987,116.236958618,36.8309426637,75
116.219246486,36.8479156987,116.240166047,36.8936720213,16
116.219246486,36.8479156987,116.25118064,36.8490588312,47
116.219246486,36.8479156987,116.216684036,36.8596228912,94
116.221623361,36.8763315724,116.202087219,36.8611678928,130
116.221623361,36.8763315724,116.240331802,36.8552303408,16
116.216684036,36.8596228912,116.202087219,36.8611678928,146
116.216684036,36.8596228912,116.216684036,36.8596228912,90
116.213722481,36.8310420156,116.187967895,36.8423657703,97
116.213722481,36.8310420156,116.213722481,36.8310420156,198
116.213722481,36.8310420156,116.216684036,36.8596228912,102
116.213722481,36.8310420156,116.225662419,36.8588641676,49
116.213722481,36.8310420156,116.241170765,36.8614900113,18
116.213722481,36.8310420156,116.252370299,36.8585624924,2
116.216684036,36.8596228912,116.201194604,36.8989778131,35
116.216684036,36.8596228912,116.187967895,36.8423657703,53
116.216684036,36.8596228912,116.213722481,36.8310420156,102
116.216684036,36.8596228912,116.225662419,36.8588641676,43
116.216684036,36.8596228912,116.232563779,36.8587094993,28
116.216684036,36.8596228912,116.236958618,36.8309426637,41
116.216684036,36.8596228912,116.241170765,36.8614900113,14
116.216684036,36.8596228912,116.252370299,36.8585624924,6
116.216684036,36.8596228912,116.244956804,36.8661827255,41
116.216684036,36.8596228912,116.25118064,36.8490588312,21
116.216684036,36.8596228912,116.247348824,36.8719363175,32
116.221733955,36.8685314253,116.202087219,36.8611678928,181
116.221733955,36.8685314253,116.187967895,36.8423657703,45
116.221733955,36.8685314253,116.213722481,36.8310420156,103
116.221733955,36.8685314253,116.216684036,36.8596228912,65
116.221733955,36.8685314253,116.221733955,36.8685314253,148
116.221733955,36.8685314253,116.244956804,36.8661827255,78
116.221733955,36.8685314253,116.236958618,36.8309426637,41
116.221733955,36.8685314253,116.25118064,36.8490588312,25
116.221733955,36.8685314253,116.201194604,36.8989778131,42
116.221733955,36.8685314253,116.219246486,36.8479156987,71
116.221733955,36.8685314253,116.225662419,36.8588641676,60
116.221733955,36.8685314253,116.240171758,36.8453170075,69
116.221733955,36.8685314253,116.247348824,36.8719363175,73
116.221623361,36.8763315724,116.201194604,36.8989778131,35
116.221623361,36.8763315724,116.213722481,36.8310420156,84
116.221623361,36.8763315724,116.216684036,36.8596228912,44
116.221623361,36.8763315724,116.225662419,36.8588641676,44
116.221623361,36.8763315724,116.247348824,36.8719363175,43
116.221623361,36.8763315724,116.25118064,36.8490588312,27
116.221623361,36.8763315724,116.221733955,36.8685314253,71
116.221623361,36.8763315724,116.240166047,36.8936720213,11
116.240166047,36.8936720213,116.216684036,36.8596228912,7
116.213722481,36.8310420156,116.221623361,36.8763315724,84
116.213722481,36.8310420156,116.221733955,36.8685314253,103
116.213722481,36.8310420156,116.240171758,36.8453170075,116
116.213722481,36.8310420156,116.240166047,36.8936720213,13
116.213722481,36.8310420156,116.25118064,36.8490588312,39
116.219246486,36.8479156987,116.221733955,36.8685314253,71
116.219246486,36.8479156987,116.201194604,36.8989778131,49
116.219246486,36.8479156987,116.244956804,36.8661827255,70
116.216684036,36.8596228912,116.221623361,36.8763315724,44
116.216684036,36.8596228912,116.240331802,36.8552303408,16
116.213722481,36.8310420156,116.232563779,36.8587094993,54
116.213722481,36.8310420156,116.240331802,36.8552303408,31
116.221623361,36.8763315724,116.219246486,36.8479156987,61
116.221623361,36.8763315724,116.240171758,36.8453170075,46
116.221623361,36.8763315724,116.187967895,36.8423657703,18
116.221623361,36.8763315724,116.236958618,36.8309426637,24
116.219246486,36.8479156987,116.225662419,36.8588641676,76
116.219246486,36.8479156987,116.241170765,36.8614900113,19
116.219246486,36.8479156987,116.247348824,36.8719363175,51
116.216684036,36.8596228912,116.219246486,36.8479156987,94
116.216684036,36.8596228912,116.240171758,36.8453170075,60
116.221623361,36.8763315724,116.241170765,36.8614900113,20
116.221623361,36.8763315724,116.244956804,36.8661827255,51
116.219246486,36.8479156987,116.232563779,36.8587094993,42
116.213722481,36.8310420156,116.201194604,36.8989778131,76
116.213722481,36.8310420156,116.244956804,36.8661827255,86
116.213722481,36.8310420156,116.247348824,36.8719363175,37
116.221733955,36.8685314253,116.221623361,36.8763315724,71
116.221733955,36.8685314253,116.240331802,36.8552303408,25
116.221733955,36.8685314253,116.241170765,36.8614900113,22
116.201194604,36.8989778131,116.244956804,36.8661827255,34
116.216684036,36.8596228912,116.221733955,36.8685314253,65
116.221733955,36.8685314253,116.252370299,36.8585624924,2
116.219246486,36.8479156987,116.240331802,36.8552303408,30
116.201194604,36.8989778131,116.187967895,36.8423657703,122
116.201194604,36.8989778131,116.247348824,36.8719363175,24
116.221733955,36.8685314253,116.232563779,36.8587094993,42
116.221623361,36.8763315724,116.232563779,36.8587094993,40
116.221623361,36.8763315724,116.252370299,36.8585624924,4
116.201194604,36.8989778131,116.216684036,36.8596228912,35
116.201194604,36.8989778131,116.202087219,36.8611678928,236
116.201194604,36.8989778131,116.221623361,36.8763315724,35
116.201194604,36.8989778131,116.221733955,36.8685314253,42
116.201194604,36.8989778131,116.240171758,36.8453170075,28
116.219246486,36.8479156987,116.252370299,36.8585624924,4
116.225662419,36.8588641676,116.219246486,36.8479156987,76
116.225662419,36.8588641676,116.221623361,36.8763315724,44
116.201194604,36.8989778131,116.219246486,36.8479156987,49
116.201194604,36.8989778131,116.236958618,36.8309426637,23
116.201194604,36.8989778131,116.240166047,36.8936720213,13
116.201194604,36.8989778131,116.225662419,36.8588641676,24
116.225662419,36.8588641676,116.202087219,36.8611678928,81
116.225662419,36.8588641676,116.201194604,36.8989778131,24
116.225662419,36.8588641676,116.213722481,36.8310420156,49
116.225662419,36.8588641676,116.225662419,36.8588641676,50
116.225662419,36.8588641676,116.240171758,36.8453170075,66
116.225662419,36.8588641676,116.236958618,36.8309426637,29
116.225662419,36.8588641676,116.244956804,36.8661827255,56
116.225662419,36.8588641676,116.247348824,36.8719363175,41
116.225662419,36.8588641676,116.216684036,36.8596228912,43
116.225662419,36.8588641676,116.232563779,36.8587094993,64
116.225662419,36.8588641676,116.221733955,36.8685314253,60
116.225662419,36.8588641676,116.240331802,36.8552303408,18
116.225662419,36.8588641676,116.187967895,36.8423657703,15
116.225662419,36.8588641676,116.25118064,36.8490588312,31
116.225662419,36.8588641676,116.252370299,36.8585624924,8
116.236958618,36.8309426637,116.213722481,36.8310420156,92
116.225662419,36.8588641676,116.241170765,36.8614900113,8
116.236958618,36.8309426637,116.187967895,36.8423657703,63
116.236958618,36.8309426637,116.202087219,36.8611678928,102
116.236958618,36.8309426637,116.216684036,36.8596228912,41
116.236958618,36.8309426637,116.219246486,36.8479156987,75
116.236958618,36.8309426637,116.221733955,36.8685314253,41
116.236958618,36.8309426637,116.225662419,36.8588641676,29
116.236958618,36.8309426637,116.221623361,36.8763315724,24
116.236958618,36.8309426637,116.247348824,36.8719363175,86
116.236958618,36.8309426637,116.236958618,36.8309426637,182
116.236958618,36.8309426637,116.240331802,36.8552303408,49
116.236958618,36.8309426637,116.240166047,36.8936720213,16
116.236958618,36.8309426637,116.25118064,36.8490588312,36
116.247348824,36.8719363175,116.202087219,36.8611678928,96
116.247348824,36.8719363175,116.241170765,36.8614900113,40
116.240166047,36.8936720213,116.213722481,36.8310420156,13
116.240166047,36.8936720213,116.221623361,36.8763315724,11
116.240166047,36.8936720213,116.219246486,36.8479156987,16
116.240166047,36.8936720213,116.225662419,36.8588641676,4
116.201194604,36.8989778131,116.232563779,36.8587094993,24
116.236958618,36.8309426637,116.244956804,36.8661827255,103
