x,y,x1,y1,count
116.018468738181,36.7735391759,116.201454606571,36.8595805404,1
116.018468738181,36.7735391759,116.224063695529,36.8296956552,1
116.019695823716,36.8004427788,116.233234077655,36.8538921818,1
116.022931347432,36.8126122501,116.201454606571,36.8595805404,3
116.022931347432,36.8126122501,116.326797596204,36.8583977081,1
116.151785114865,36.8287371141,116.22621547235,36.8186155797,1
116.151785114865,36.8287371141,116.243975387013,36.8169205476,1
116.151785114865,36.8287371141,116.215440987476,36.8148355569,1
116.022931347432,36.8126122501,116.215440987476,36.8148355569,1
116.019695823716,36.8004427788,116.207302730742,36.8742546712,1
116.032583983596,36.7887460759,116.224063695529,36.8296956552,2
116.032583983596,36.7887460759,116.326797596204,36.8583977081,2
116.039387585928,36.818934647,116.224063695529,36.8296956552,2
116.039387585928,36.818934647,116.161023286624,36.8499153311,1
116.039387585928,36.818934647,116.243975387013,36.8169205476,1
116.039387585928,36.818934647,116.22621547235,36.8186155797,1
116.037361815239,36.7716873839,116.224063695529,36.8296956552,1
116.039387585928,36.818934647,116.215440987476,36.8148355569,2
116.039387585928,36.818934647,116.235159059385,36.8144528705,2
116.169674315251,36.7823409741,116.235159059385,36.8144528705,2
116.038663060416,36.8347424995,116.187967894785,36.8423657703,4
116.039387585928,36.818934647,116.194743620947,36.815303039,1
116.039258964702,36.8057178512,116.194743620947,36.815303039,1
116.038663060416,36.8347424995,116.259182407963,36.8305402475,3
116.037502921418,36.7501228784,116.224063695529,36.8296956552,1
116.072323635361,36.7875555474,116.187967894785,36.8423657703,3
116.072323635361,36.7875555474,116.201194604511,36.898977813,1
116.039258964702,36.8057178512,116.207302730742,36.8742546712,1
116.038663060416,36.8347424995,116.224063695529,36.8296956552,3
116.044308424865,36.8274803258,116.259182407963,36.8305402475,1
116.044308424865,36.8274803258,116.224063695529,36.8296956552,8
116.044308424865,36.8274803258,116.212990326737,36.8394675655,2
116.040909799559,36.8650775389,116.238550959949,36.8844029222,2
116.169674315251,36.7823409741,116.201194604511,36.898977813,3
116.169674315251,36.7823409741,116.224063695529,36.8296956552,4
116.040909799559,36.8650775389,116.187967894785,36.8423657703,3
116.040909799559,36.8650775389,116.201454606571,36.8595805404,5
116.169674315251,36.7823409741,116.187967894785,36.8423657703,2
116.048297976198,36.8527109733,116.201454606571,36.8595805404,7
116.040909799559,36.8650775389,116.212990326737,36.8394675655,1
116.169674315251,36.7823409741,116.233234077655,36.8538921818,7
116.169674315251,36.7823409741,116.201454606571,36.8595805404,1
116.049247848479,36.8640371258,116.238550959949,36.8844029222,2
116.040909799559,36.8650775389,116.265756176796,36.8893626194,1
116.049247848479,36.8640371258,116.201194604511,36.898977813,1
116.049247848479,36.8640371258,116.201454606571,36.8595805404,3
116.048297976198,36.8527109733,116.233234077655,36.8538921818,6
116.055134704525,36.8752211885,116.138460077696,36.8746342237,1
116.055134704525,36.8752211885,116.238550959949,36.8844029222,10
116.049720310142,36.7675869849,116.235159059385,36.8144528705,1
116.055370930424,36.832460823,116.187967894785,36.8423657703,4
116.055370930424,36.832460823,116.224063695529,36.8296956552,7
116.048297976198,36.8527109733,116.187967894785,36.8423657703,4
116.049720310142,36.7675869849,116.201454606571,36.8595805404,1
116.055134704525,36.8752211885,116.233234077655,36.8538921818,2
116.055370930424,36.832460823,116.212990326737,36.8394675655,1
116.192569644157,36.8552608543,116.187967894785,36.8423657703,3
116.055766375413,36.863648909,116.201454606571,36.8595805404,8
116.055766375413,36.863648909,116.158872046269,36.8695575292,3
116.055134704525,36.8752211885,116.201194604511,36.898977813,1
116.192569644157,36.8552608543,116.224063695529,36.8296956552,2
116.055766375413,36.863648909,116.238550959949,36.8844029222,1
116.122493081866,36.8541614408,116.224063695529,36.8296956552,11
116.192569644157,36.8552608543,116.248100578072,36.8400262868,1
116.192569644157,36.8552608543,116.212990326737,36.8394675655,3
116.055766375413,36.863648909,116.261188373862,36.867979237,1
116.055766375413,36.863648909,116.265756176796,36.8893626194,1
116.062607178464,36.8697390028,116.201454606571,36.8595805404,1
116.122493081866,36.8541614408,116.259182407963,36.8305402475,1
116.062607178464,36.8697390028,116.238550959949,36.8844029222,7
116.122493081866,36.8541614408,116.194702202121,36.8217852248,2
116.06466008006,36.8580375391,116.233234077655,36.8538921818,8
116.071623507717,36.8659893284,116.233234077655,36.8538921818,1
116.062607178464,36.8697390028,116.187967894785,36.8423657703,1
116.062607178464,36.8697390028,116.201194604511,36.898977813,1
116.065533454739,36.7416768199,116.201454606571,36.8595805404,1
116.122493081866,36.8541614408,116.187967894785,36.8423657703,2
116.122493081866,36.8541614408,116.201454606571,36.8595805404,3
116.06466008006,36.8580375391,116.201454606571,36.8595805404,11
116.071623507717,36.8659893284,116.161023286624,36.8499153311,1
116.071623507717,36.8659893284,116.187967894785,36.8423657703,2
116.071623507717,36.8659893284,116.201454606571,36.8595805404,1
116.062607178464,36.8697390028,116.224063695529,36.8296956552,1
116.06466008006,36.8580375391,116.238550959949,36.8844029222,2
116.062978626354,36.811047107,116.201454606571,36.8595805404,3
116.062978626354,36.811047107,116.235159059385,36.8144528705,1
116.192569644157,36.8552608543,116.201194604511,36.898977813,2
116.06466008006,36.8580375391,116.187967894785,36.8423657703,2
116.107043013612,36.7389324119,116.212990326737,36.8394675655,1
116.062978626354,36.811047107,116.194702202121,36.8217852248,1
116.06466008006,36.8580375391,116.194702202121,36.8217852248,1
116.065533454739,36.7416768199,116.224063695529,36.8296956552,1
116.062978626354,36.811047107,116.215440987476,36.8148355569,1
116.062978626354,36.811047107,116.201194604511,36.898977813,1
116.06466008006,36.8580375391,116.161023286624,36.8499153311,1
116.065533454739,36.7416768199,116.207302730742,36.8742546712,1
116.062978626354,36.811047107,116.224063695529,36.8296956552,1
116.06466008006,36.8580375391,116.224063695529,36.8296956552,1
116.067793856865,36.8823914675,116.201194604511,36.898977813,9
116.067793856865,36.8823914675,116.238550959949,36.8844029222,7
116.128636331385,36.7563993317,116.238550959949,36.8844029222,33
116.067793856865,36.8823914675,116.224063695529,36.8296956552,1
116.177230776882,36.7341731638,116.201194604511,36.898977813,1
116.177230776882,36.7341731638,116.233234077655,36.8538921818,4
116.067793856865,36.8823914675,116.250695207211,36.7853026887,1
116.065533454739,36.7416768199,116.187967894785,36.8423657703,1
116.19621427247,36.8349891912,116.187967894785,36.8423657703,6
116.19621427247,36.8349891912,116.194743620947,36.815303039,1
116.19621427247,36.8349891912,116.224063695529,36.8296956552,7
116.128636331385,36.7563993317,116.194702202121,36.8217852248,1
116.055370930424,36.832460823,116.207302730742,36.8742546712,1
116.19621427247,36.8349891912,116.201454606571,36.8595805404,4
116.071623507717,36.8659893284,116.212990326737,36.8394675655,1
116.128220355165,36.88931434,116.187967894785,36.8423657703,5
116.065533454739,36.7416768199,116.22621547235,36.8186155797,1
116.128636331385,36.7563993317,116.233234077655,36.8538921818,39
116.128220355165,36.88931434,116.233234077655,36.8538921818,7
116.128220355165,36.88931434,116.238550959949,36.8844029222,2
116.192569644157,36.8552608543,116.201454606571,36.8595805404,2
